id,citizen_id,broker_id,application_type,status,submission_date,documents,is_fraud,owner_name,owner_so,owner_address,ownership,chassis_number,engine_number,cubic_capacity,maker_name,model_name,date_of_registration,registration_valid_upto,tax_valid_upto,fitness_status,vehicle_class,vehicle_description,fuel_type,emission_norm,seat_capacity,vehicle_color,insurance_details,insurance_valid_upto,pucc_no,pucc_valid_upto,registering_authority,registration_number
1,244,67,Transfer,Rejected,2025-07-15,"aadhaar,pan,etc",True,Joshua Bhardwaj,Upadhriti Mahal,"H.No. 05, Pai
Nellore 835181",Single,12147759093150655,5507825339,1121 CC,Honda,Innova,2023-04-28,2021-01-05,2021-10-11,Expired,HMV,Motorcycle,Diesel,BS4,6,Black,More-Lala,2024-11-06,7124702445,2022-05-23,Mehsana,TN97CH2129
2,331,24,New Registration,Rejected,2025-01-27,"aadhaar,pan,etc",False,Balhaar Patla,Karan Varty,"H.No. 109, Buch Chowk
Eluru 508413",Partner,71557491179367337,7723996562,1341 CC,Maruti Suzuki,Swift,2025-02-12,2023-03-20,2022-08-29,Expired,HMV,Bus,Electric,BS4,3,Grey,Dora Group,2022-04-23,5972657737,2021-08-23,Kolkata,TN43CH5978
3,577,71,Transfer,Approved,2025-02-23,"aadhaar,pan,etc",False,Yash Ahluwalia,Hemangini Ravel,"H.No. 57
Gade Street, Panvel-554462",Partner,60899888101310324,4342244908,1384 CC,Honda,City,2024-06-20,2020-06-07,2020-03-21,Expired,HMV,Motorcycle,Electric,BS6,8,White,Ravel-Mahajan,2022-06-18,6274398488,2021-03-16,Kanpur,TN66CH7684
4,162,72,Transfer,Rejected,2025-01-01,"aadhaar,pan,etc",False,Vrinda Rana,Kalpit Bhasin,"41, Sha Chowk, Jalna 932464",Single,45540009048858401,2179343094,848 CC,Tata Motors,Polo,2022-05-31,2024-05-17,2023-09-12,Expired,MCV,Truck,CNG,BS4,5,Black,"Setty, Modi and Choudhary",2022-07-09,6880478591,2022-04-07,Bhilwara,TN36CH6770
5,620,25,Renewal,Pending,2025-07-31,"aadhaar,pan,etc",False,Sudiksha Batta,Warjas Gulati,"74
Thaman Road
Vellore 571007",Partner,14136894320376092,2585337811,1587 CC,Volkswagen,City,2024-08-31,2020-04-29,2020-04-10,Valid,MCV,Car,CNG,BS6,5,White,Hayre-Yogi,2022-08-11,1363593445,2022-11-07,Sirsa,TN49CH9938
6,128,48,Renewal,Rejected,2025-08-02,"aadhaar,pan,etc",True,Isha Ben,Reva Pal,"H.No. 014, Sibal Circle
Giridih-641078",Single,87418909333514737,5084766648,1054 CC,Volkswagen,Figo,2022-10-28,2024-03-26,2023-03-17,Expired,HCV,Motorcycle,Diesel,BS4,5,Silver,Korpal and Sons,2020-01-04,4115904667,2022-06-27,Bathinda,TN40CH4605
7,10,91,Transfer,Rejected,2025-09-10,"aadhaar,pan,etc",False,Laksh Amble,Kashvi Mangat,"321, Thaker, Bahraich-050549",Partner,91128684558574023,5610413742,825 CC,Hyundai,Swift,2022-02-23,2022-09-27,2024-01-26,Valid,MCV,Bus,CNG,BS6,6,Black,Rajagopalan-Vasa,2024-01-16,1704447068,2022-05-25,Panipat,TN52CH2557
8,684,9,Renewal,Approved,2025-09-20,"aadhaar,pan,etc",False,Ekansh Shanker,Hamsini Sani,"H.No. 82
Koshy
Jamnagar 786962",Partner,80282285406634519,2379087971,1017 CC,Honda,Figo,2024-01-11,2021-12-30,2023-11-14,Expired,MCV,Truck,CNG,BS4,4,Black,"Kala, Sankar and Menon",2022-03-30,3306325268,2021-08-31,Allahabad,TN30CH5034
9,606,42,Transfer,Approved,2025-08-02,"aadhaar,pan,etc",False,Vihaan Puri,Chaitaly Banerjee,"89
Barad Road, North Dumdum-580208",Single,46411915125857515,3646172790,1966 CC,Tata Motors,i10,2023-10-05,2023-07-02,2025-01-19,Expired,HMV,Motorcycle,CNG,BS4,4,Silver,Oza PLC,2024-05-12,8019177962,2020-07-16,Varanasi,TN10CH7552
10,699,89,New Registration,Approved,2025-02-10,"aadhaar,pan,etc",False,Chatura Bala,Manbir Yadav,"H.No. 414, Jaggi Marg
Loni-851313",Partner,11314587523691081,4713438932,1697 CC,Ford,Polo,2025-07-09,2023-07-29,2023-04-14,Expired,HMV,Car,Petrol,BS4,6,Grey,Luthra-Atwal,2022-03-24,4459306617,2022-09-24,Mehsana,TN24CH9629
